receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,scenario
baseline_ls_lmmse,0.0,0.1781651111359292,1.0,0.1432089141453616,26341572,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ls_lmmse,1.0,0.1549628034551093,1.0,0.1167085938213858,22911129,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ls_lmmse,2.0,0.1295816949073304,1.0,0.0959106817899737,19158552,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ls_lmmse,3.0,0.0960716017594574,1.0,0.0790597130544483,14204111,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ls_lmmse,4.0,0.0432840441981105,0.7884928385416666,0.0658402591070626,6399512,147849216,19378,24576,256,True,True,twc_mild_clean
baseline_ls_lmmse,5.0,0.010838082496156,0.2540283203125,0.0554153586708707,1602402,147849216,6243,24576,256,True,True,twc_mild_clean
baseline_ls_lmmse,6.0,0.0024176274226466,0.0608703987730061,0.0469649712343705,455183,188276736,1905,31296,326,True,True,twc_mild_clean
baseline_ls_lmmse,7.0,0.0006217719815301,0.0155741373697916,0.0402810434206912,367714,591396864,1531,98304,1024,True,True,twc_mild_clean
baseline_ls_lmmse,8.0,0.0001965837275728,0.004669189453125,0.0350241208579973,116259,591396864,459,98304,1024,True,True,twc_mild_clean
baseline_ls_lmmse,9.0,5.399419906291556e-05,0.0013427734375,0.0308715552382636,31932,591396864,132,98304,1024,True,True,twc_mild_clean
baseline_ls_lmmse,10.0,1.954186892678552e-05,0.00042724609375,0.0274954525211796,11557,591396864,42,98304,1024,True,True,twc_mild_clean
baseline_ls_lmmse,11.0,1.2648021075742464e-05,0.000244140625,0.0249308779020793,7480,591396864,24,98304,1024,True,True,twc_mild_clean
baseline_ls_lmmse,12.0,7.30473944481383e-06,0.0001322428385416,0.022736774828445,4320,591396864,13,98304,1024,True,False,twc_mild_clean
baseline_ls_lmmse,13.0,4.710880577141512e-06,0.0001118977864583,0.0210924039674864,2786,591396864,11,98304,1024,True,False,twc_mild_clean
baseline_ls_lmmse,14.0,5.248590564051418e-06,0.0001118977864583,0.019773711948801,3104,591396864,11,98304,1024,True,False,twc_mild_clean
baseline_ls_2dlmmse_lmmse,0.0,0.2645263604238523,1.0,0.5013492597499862,39110015,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,1.0,0.2496332412070416,1.0,0.4869941439246759,36908079,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,2.0,0.2356808101031797,1.0,0.4752904295455664,34845223,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,3.0,0.2219202028098681,1.0,0.4626320214010775,32810728,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,4.0,0.2100512524868579,0.9995524088541666,0.4537085202755406,31055913,147849216,24565,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,5.0,0.2003192901611328,0.9949951171875,0.444202387239784,29617050,147849216,24453,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,6.0,0.1917660422358952,0.98779296875,0.4372685492271557,28352459,147849216,24276,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,7.0,0.1854248993785668,0.9749755859375,0.4299637130461633,27414926,147849216,23961,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,8.0,0.1808537760524885,0.9641520182291666,0.4243012784281745,26739089,147849216,23695,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,9.0,0.1767929902313449,0.9514973958333334,0.4180646794848144,26138705,147849216,23384,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,10.0,0.1725043235941136,0.9391276041666666,0.4130402551963925,25504629,147849216,23080,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,11.0,0.1700108237300358,0.93212890625,0.4084593511652201,25135967,147849216,22908,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,12.0,0.166706511314879,0.9218343098958334,0.4027600443223491,24647427,147849216,22655,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,13.0,0.1643821161689487,0.9173583984375,0.3987077187048271,24303767,147849216,22545,24576,256,True,True,twc_mild_clean
baseline_ls_2dlmmse_lmmse,14.0,0.1616101975136614,0.9153645833333334,0.3908958213869482,23893941,147849216,22496,24576,256,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,0.0,0.1780385429977525,1.0,0.1427531563094817,26322859,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,1.0,0.1546502891161763,1.0,0.1158924770134035,22864924,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,2.0,0.1288715592512847,1.0,0.0946081901201978,19053559,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,3.0,0.0942276352686239,1.0,0.0771454669302329,13931482,147849216,24576,24576,256,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,4.0,0.0380774423585715,0.7550455729166666,0.0631618114857701,5629720,147849216,18556,24576,256,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,5.0,0.0066875768891463,0.1786295572916666,0.0518963711656397,988753,147849216,4390,24576,256,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,6.0,0.0009390167035825,0.0265848670756646,0.0426982677330268,176795,188276736,832,31296,326,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,7.0,0.0001585348278072,0.004364013671875,0.0353036264677939,93757,591396864,429,98304,1024,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,8.0,4.4100673486154976e-05,0.0008951822916666,0.029504706744774,26081,591396864,88,98304,1024,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,9.0,1.0850581716983876e-05,0.000244140625,0.0249059050875075,6417,591396864,24,98304,1024,True,True,twc_mild_clean
baseline_ddcpe_ls_lmmse,10.0,2.1102580618351065e-06,4.069010416666666e-05,0.021300090898876,1248,591396864,4,98304,1024,True,False,twc_mild_clean
baseline_ddcpe_ls_lmmse,11.0,2.154221771456671e-06,4.069010416666666e-05,0.0185003469287039,1274,591396864,4,98304,1024,True,False,twc_mild_clean
baseline_ddcpe_ls_lmmse,12.0,3.348005578873005e-06,3.0517578125e-05,0.0162744492254205,1980,591396864,3,98304,1024,True,False,twc_mild_clean
baseline_ddcpe_ls_lmmse,13.0,2.149149035731106e-06,5.0862630208333336e-05,0.0145375222955408,1271,591396864,5,98304,1024,True,False,twc_mild_clean
baseline_ddcpe_ls_lmmse,14.0,3.4900421791888297e-06,5.0862630208333336e-05,0.0131473737392298,2064,591396864,5,98304,1024,True,False,twc_mild_clean
upair5g_lmmse,0.0,0.1601763245061779,1.0,0.029049040589598,23681944,147849216,24576,24576,256,True,True,twc_mild_clean
upair5g_lmmse,1.0,0.1356842162761282,1.0,0.0227633065733243,20060805,147849216,24576,24576,256,True,True,twc_mild_clean
upair5g_lmmse,2.0,0.1052097090592621,1.0,0.0183074396627489,15555173,147849216,24576,24576,256,True,True,twc_mild_clean
upair5g_lmmse,3.0,0.0507107051551764,0.9285888671875,0.0148484127130359,7497538,147849216,22821,24576,256,True,True,twc_mild_clean
upair5g_lmmse,4.0,0.0079243910228106,0.2138671875,0.0122675564234668,1171615,147849216,5256,24576,256,True,True,twc_mild_clean
upair5g_lmmse,5.0,0.0008607417979138,0.0254313151041666,0.0102880905542406,127260,147849216,625,24576,256,True,True,twc_mild_clean
upair5g_lmmse,6.0,0.0001106084609412,0.0031952965235173,0.0087416740562881,20825,188276736,100,31296,326,True,True,twc_mild_clean
upair5g_lmmse,7.0,1.3265203922352892e-05,0.0004374186197916,0.0075283322676114,7845,591396864,43,98304,1024,True,True,twc_mild_clean
upair5g_lmmse,8.0,4.457243790863254e-06,8.138020833333333e-05,0.0065836750418384,2636,591396864,8,98304,1024,True,False,twc_mild_clean
upair5g_lmmse,9.0,0.0,0.0,0.0058172077392555,0,591396864,0,98304,1024,False,False,twc_mild_clean
upair5g_lmmse,10.0,0.0,0.0,0.0051796175384879,0,591396864,0,98304,1024,False,False,twc_mild_clean
upair5g_lmmse,11.0,0.0,0.0,0.004676753563217,0,591396864,0,98304,1024,False,False,twc_mild_clean
upair5g_lmmse,12.0,0.0,0.0,0.004252215084989,0,591396864,0,98304,1024,False,False,twc_mild_clean
upair5g_lmmse,13.0,0.0,0.0,0.0039013222865378,0,591396864,0,98304,1024,False,False,twc_mild_clean
upair5g_lmmse,14.0,0.0,0.0,0.0036043815180164,0,591396864,0,98304,1024,False,False,twc_mild_clean
perfect_csi_lmmse,0.0,0.1500599705581124,1.0,0.0,22186249,147849216,24576,24576,256,True,True,twc_mild_clean
perfect_csi_lmmse,1.0,0.1240812261053856,1.0,0.0,18345312,147849216,24576,24576,256,True,True,twc_mild_clean
perfect_csi_lmmse,2.0,0.0873009701992603,1.0,0.0,12907380,147849216,24576,24576,256,True,True,twc_mild_clean
perfect_csi_lmmse,3.0,0.0243477922804812,0.6066080729166666,0.0,3599802,147849216,14908,24576,256,True,True,twc_mild_clean
perfect_csi_lmmse,4.0,0.0025311733813996,0.0773111979166666,0.0,374232,147849216,1900,24576,256,True,True,twc_mild_clean
perfect_csi_lmmse,5.0,0.0002239849550504,0.0076904296875,0.0,33116,147849216,189,24576,256,True,True,twc_mild_clean
perfect_csi_lmmse,6.0,2.808631651655572e-05,0.0008627300613496,0.0,5288,188276736,27,31296,326,True,True,twc_mild_clean
perfect_csi_lmmse,7.0,2.142385388097019e-06,6.103515625e-05,0.0,1267,591396864,6,98304,1024,True,False,twc_mild_clean
perfect_csi_lmmse,8.0,6.442374371467752e-07,3.0517578125e-05,0.0,381,591396864,3,98304,1024,True,False,twc_mild_clean
perfect_csi_lmmse,9.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_clean
perfect_csi_lmmse,10.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_clean
perfect_csi_lmmse,11.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_clean
perfect_csi_lmmse,12.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_clean
perfect_csi_lmmse,13.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_clean
perfect_csi_lmmse,14.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_clean
baseline_ls_lmmse,0.0,0.1783459507827217,1.0,0.1440093676210381,26368309,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ls_lmmse,1.0,0.1551757704281637,1.0,0.1174863291671499,22942616,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ls_lmmse,2.0,0.1296714688023776,1.0,0.0964184690674301,19171825,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ls_lmmse,3.0,0.0967734857653895,1.0,0.0798116418300196,14307884,147849216,24576,24576,256,True,True,twc_mild_main
baseline_ls_lmmse,4.0,0.044221837469872,0.7931315104166666,0.0664327956037595,6538164,147849216,19492,24576,256,True,True,twc_mild_main
baseline_ls_lmmse,5.0,0.0117390544701975,0.2650960286458333,0.0559652849915437,1735610,147849216,6515,24576,256,True,True,twc_mild_main
baseline_ls_lmmse,6.0,0.0029846463956199,0.0716949588477366,0.047634628072473,558492,187121664,2230,31104,324,True,True,twc_mild_main
baseline_ls_lmmse,7.0,0.0008810648681424,0.0210673014322916,0.0409821477260265,521059,591396864,2071,98304,1024,True,True,twc_mild_main
baseline_ls_lmmse,8.0,0.0003220307911541,0.0073038736979166,0.0357095357976504,190448,591396864,718,98304,1024,True,True,twc_mild_main
baseline_ls_lmmse,9.0,0.0001192481805246,0.0026041666666666,0.0315008622055756,70523,591396864,256,98304,1024,True,True,twc_mild_main
baseline_ls_lmmse,10.0,5.323667052789783e-05,0.0011494954427083,0.0281484148654271,31484,591396864,113,98304,1024,True,True,twc_mild_main
baseline_ls_lmmse,11.0,3.570022312461907e-05,0.000701904296875,0.0255352530311938,21113,591396864,69,98304,1024,True,True,twc_mild_main
baseline_ls_lmmse,12.0,1.6679155065658245e-05,0.0003763834635416,0.0234197390564077,9864,591396864,37,98304,1024,True,True,twc_mild_main
baseline_ls_lmmse,13.0,6.846502317604444e-06,0.0002339680989583,0.0217357412147976,4049,591396864,23,98304,1024,True,True,twc_mild_main
